,Population,% < 18,% 65 and over,% African American,% American Indian/Alaskan Native,% Asian,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural,% Fair/Poor,% Smokers,% Obese,% Excessive Drinking,% Physically Inactive,Chlamydia Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Diabetic,Drug Overdose Mortality Rate,% Insufficient Sleep,% Uninsured,PCP Rate,MHP Rate,% Unemployed,% Children in Poverty,Income Ratio,Association Rate,Violent Crime Rate,% Severe Housing Problems,% Limited Access,Household Income,% Free or Reduced Lunch,Food Environment Index,% With Access,% Food Insecure
21,83768,22.457262917,18.784022538,1.2474930761,0.6434437972,0.7246203801,4.4790373412,91.677012702,0.6277496205,50.568236081,73.239559237,21.807464602,22.625123931,15.389936064,34.1,235.6,15.215418534,17.391585245,15.4,92.8,20.802912408,36.516412364,13.828396566,52.73124,148.02789,2.5824147389,17.0,4.3889053254,11.265310036,129.39228552,12.413571314,3.1096062497,50897.0,49.71978846,7.6,41.65360794,15.1
22,49172,22.752786138,17.290327829,20.454730334,0.8582119906,1.4500122021,7.0161880745,67.975677215,1.2748121444,50.756528105,50.888539532,22.124722819,21.493210399,15.516097584,31.7,686.6,14.766170246,16.852213011,15.6,311.5,6.7863783813,40.829399182,11.012728279,20.42651,95.58285,3.0978575565,27.8,4.8358058705,11.438843043,436.72141878,13.386454183,10.559380333,45120.0,64.617550446,6.3,46.387136574,18.0
23,37196,23.322400258,18.875685558,70.324766104,0.3064845682,0.4489730079,1.1533498226,26.970642005,0.1986070301,53.817614797,45.638977636,30.07072839,24.919678839,11.851833565,32.9,747.2,17.550525967,19.015876176,17.2,473.4,12.60430763058259,44.039348833,11.383124959,75.69825,61.83461,5.4856909795,41.0,5.9513579868,12.529365701,924.56116843,19.441916894,11.556270932,34034.0,81.343652231,5.3,59.637151985,22.7
24,71513,23.941101618,17.620572483,1.4780529414,2.0220099842,0.518786794,15.065792234,79.849817516,3.4436987323,50.251003314,90.130644504,27.167320846,25.08273446,13.411151362,32.8,251.3,17.509444349,19.351624123,15.8,102.9,29.368575624,38.813408937,18.848679135,39.22393,26.5686,2.8017519,29.4,4.8781470292,8.6852980318,312.33068808,11.14599686,2.1669646088,44277.0,67.667990732,7.3,45.037899563,16.6
25,81209,22.323880358,15.585710943,20.906549767,0.5085643217,0.7511482717,3.1560541319,73.084264059,0.9567186253,51.685158049,54.18836614,19.367015034,19.310227625,14.65677689,24.5,499.5,12.789562931,15.556851974,15.1,273.6,10.213544795,38.816444044,9.8852453959,25.6451,22.16503,2.6061493411,17.7,4.4115155016,11.11287506,238.67666368,11.162630946,6.9430217138,62310.0,49.962149886,7.4,51.730703756,14.3
26,36633,22.455163377,18.264952365,30.991182813,3.8981246417,0.3330330576,2.5987497611,60.31174078,0.4119700177,49.703818961,63.511573893,28.167851759,25.433022539,14.57429161,33.5,491.4,17.231540406,18.591516339,18.9,230.2,35.189663262,42.919998686,14.941060545,32.65484,62.78492000000001,3.4819130199,27.1,5.38080319,14.966800914,446.24531575,11.190926276,7.2199400283,42712.0,67.281535308,6.3,48.130170412,19.4
27,102268,21.293073102,19.356983612,15.52391755,0.6130950053,0.8223491219,4.1361911839,77.450424375,1.2516523463,51.601674033,37.483481758,21.978549324,23.134361746,14.999518383,33.6,529.4,14.956386744,17.491140879,17.3,215.0,26.664585528,38.803017172,12.456019487,79.99922,121.25005,3.3424619058,27.0,4.7088421053,15.512043785,603.96261974,10.61187916,9.4006166263,43047.0,55.215046692,6.7,49.494398161,16.6
28,16302,21.058765796,21.745798062,11.501656238,0.4784688995,0.4784688995,2.0549625813,84.057170899,1.692753756036887,51.312722365,80.23316513,23.827757986,24.326008398,14.819335959,30.0,461.5,16.033906461,18.274622785,19.6,107.5,22.356360385,39.750553649,12.319123973,103.45037,12.26843,3.146374829,23.0,5.1523667681,8.519442585,236.5959084857466,11.646297628,1.3544586987,44212.0,58.514335361,7.1,34.162751581,18.3
29,31362,24.781582807,17.135386774,3.7752694343,1.6644346662,0.3634972259,17.875135514,76.184554556,5.0877013027,49.677954212,70.366515266,25.550358776,22.693219664,14.876566173,36.9,276.2,16.420359084,17.80663976,14.4,73.5,12.60430763058259,38.840542884,16.400388727,44.63859,6.37714,2.7558519325,24.5,4.1622427531,9.246564423,264.23443643,11.270047681,4.1206193939,44874.0,69.135399674,7.4,58.147236942,15.7
30,26271,21.95196224,20.631114156,9.1431616611,1.1152982376,0.3501960336,4.1680940962,83.556012333,0.7166593266,51.174298656,89.641657335,26.304787752,25.201688227,15.353316032,40.8,435.3,17.172868404,19.011241073,19.3,170.3,18.985899805,37.999724016,14.193579439,30.40207,22.83887,2.8972385695,21.3,5.1973626374,8.7405943604,413.57112113,10.238429173,0.9307847981,43089.0,57.76444111,7.0,20.205300485,19.0
